,x1,x2,x3,x4,x5
bench6/4,0.6,0.4,0.0,0.0,0.0
bench7/3,0.7,0.3,0.0,0.0,0.0
bench5/5,0.5,0.5,0.0,0.0,0.0
max uti,0.18126210570335388,1.0243929624557495,0.75,0.75,-0.2056550681591034
max sortino,0.4842265546321869,0.5157734751701355,0.35654303431510925,0.75,-0.0
min mdd,0.4633376896381378,0.5366622805595398,0.28017497062683105,0.75,-0.0
uti,0.5962732590649619,0.9122335765711901,0.4404862891718153,0.7159900339578056,-0.508506835636152
sortino,0.5644501475362365,0.44682985343413717,0.32973558959023175,0.6867829453005588,-0.011280000970373627
mdd,0.2632361868837034,0.7748056046246182,0.2158668753877403,0.19517770834299852,-0.038041791508321654
prob,0.3486118254906069,0.8302611520488421,0.19303079035108062,0.4527699182105931,-0.17887297753944897
