,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 5Y,217264.32332126802,48414.6447410406,217264.32332126802,0.0,1.1803445494917566,1.6040662374646972,0.16916003888242087,-0.0005200221966194676,0.000628022514972848,123124.60438989484,122226.77901718332
bench7/3 5Y,219111.28945974566,47894.8850444772,219111.28945974566,0.0,1.04409151310589,1.4448102227091033,0.22027574031821787,0.0005905781062539902,0.0018583735785930866,123126.40961143193,122716.68736859638
bench5/5 5Y,215864.53437520567,51714.6534133202,215864.53437520567,0.0,1.2102232913252082,1.6026189149564727,0.13863483315905983,-0.0016083424106521083,-0.001015082931479069,122410.09446139267,122410.09446139264
max uti 5Y,272979.00359047257,68531.96924098849,272979.00359047257,0.0,1.1606534304396625,1.6877806813747689,0.18663916551222504,-0.007260382199128595,-0.007243931763251332,136681.75711099707,136681.75711099707
max sortino 5Y,260663.7947859043,64712.00912041543,260663.7947859043,0.0,1.6458095506236448,2.1725426110075965,0.13231012413851176,-0.0073433216291735205,-0.007124401633182264,133353.53417314216,131808.98945694946
min mdd 5Y,254531.38241072657,65841.31901692781,254531.38241072657,0.0,1.5620397521785008,2.0727587115904336,0.12729465992739375,-0.0074385700785251085,-0.007305403589350488,125924.30663020887,125924.30663020887
mc max uti 5Y,283987.9035355808,66015.33502962376,283987.9035355808,0.0,1.4028913492132884,1.9037221084542042,0.19047956878913844,-0.006955421041983323,-0.006955421041983323,158978.02291696926,156698.63593489854
mc max sortino 5Y,259237.02995123246,59220.47470549431,259237.02995123246,0.0,1.6069928631128898,2.1057696447169643,0.16725732154692255,-0.005974470272498041,-0.005172824046849156,135700.44135010772,134279.51352872778
mc min dd 5Y,235273.4254786773,54388.35473931052,235273.4254786773,0.0,1.082312878891651,1.536305489654751,0.12116781324966633,-0.00440447289352508,-0.004361010729350319,129369.02385627414,128218.39538808019
mc max prob 5Y,249079.46060164375,59984.99279781561,249079.46060164375,0.0,1.1708528604809445,1.648861972859394,0.14200829055773784,-0.006322314856113569,-0.006130048306368874,132811.4910232334,131893.2764256797
